Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,Sales,17,2,Life Sciences,1,1,2,Female,49,3,2,Sales Representative,3,Married,5747,12210,2,Y,Yes,15,3,3,80,1,4,6,3,2,2,2,1
46,No,Travel_Frequently,Research & Development,9,3,Medical,1,2,1,Male,94,2,1,Laboratory Technician,3,Married,6558,17783,3,Y,No,15,3,2,80,0,21,4,3,18,6,0,3
32,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,3,3,Male,43,3,2,Manufacturing Director,1,Married,5732,10666,1,Y,No,24,4,2,80,1,9,0,3,9,7,0,2
60,No,Travel_Rarely,Research & Development,5,1,Medical,1,4,3,Female,78,2,3,Healthcare Representative,2,Divorced,16448,2730,2,Y,No,22,3,4,80,1,2,2,3,2,2,0,0
25,Yes,Travel_Rarely,Sales,2,2,Life Sciences,1,5,3,Female,66,3,2,Sales Executive,1,Divorced,3580,2893,2,Y,Yes,15,3,4,80,1,6,4,2,2,2,0,2
38,No,Travel_Rarely,Research & Development,15,2,Medical,1,6,3,Male,35,3,2,Healthcare Representative,4,Married,6370,22490,6,Y,No,18,4,3,80,0,2,1,3,0,0,0,0
56,No,Travel_Frequently,Sales,24,4,Life Sciences,1,7,2,Female,35,2,3,Sales Executive,1,Single,4287,18760,6,Y,No,21,4,4,80,1,10,5,2,8,2,0,6
36,No,Non-Travel,Sales,12,2,Human Resources,1,8,4,Male,57,3,3,Sales Representative,1,Married,1122,22787,3,Y,No,11,3,3,80,0,0,6,1,0,0,0,0
40,No,Travel_Rarely,Sales,10,2,Medical,1,9,3,Male,42,3,3,Sales Representative,4,Married,4376,20524,2,Y,Yes,20,3,4,80,1,8,5,2,5,3,3,0
28,No,Travel_Frequently,Research & Development,10,4,Life Sciences,1,10,1,Male,42,3,1,Laboratory Technician,4,Married,2802,25151,1,Y,No,21,3,2,80,1,22,4,3,22,20,0,2
